site,PONTO,TIPO,wl_nm,refl_img
IPIXUNA,IPX001,SOLO,406.99341,0.021194782
IPIXUNA,IPX001,SOLO,415.83899,0.017700465
IPIXUNA,IPX001,SOLO,423.78476,0.024673838
IPIXUNA,IPX001,SOLO,431.33469,0.019089036
IPIXUNA,IPX001,SOLO,438.65689,0.026382849
IPIXUNA,IPX001,SOLO,446.01471,0.029373618
IPIXUNA,IPX001,SOLO,453.38947,0.027298391
IPIXUNA,IPX001,SOLO,460.73175,0.024811169
IPIXUNA,IPX001,SOLO,468.09842,0.020080874
IPIXUNA,IPX001,SOLO,475.31885,0.024841689
IPIXUNA,IPX001,SOLO,482.54816,0.026825361
IPIXUNA,IPX001,SOLO,489.79486000000003,0.031647213
IPIXUNA,IPX001,SOLO,497.05865,0.030395972
IPIXUNA,IPX001,SOLO,504.51172,0.037918668
IPIXUNA,IPX001,SOLO,512.04639,0.038574807
IPIXUNA,IPX001,SOLO,519.54376,0.04415961
IPIXUNA,IPX001,SOLO,527.3053,0.053513389
IPIXUNA,IPX001,SOLO,535.05255,0.063508049
IPIXUNA,IPX001,SOLO,542.88513,0.069596402
IPIXUNA,IPX001,SOLO,550.91461,0.073884182
IPIXUNA,IPX001,SOLO,559.02026,0.075425342
IPIXUNA,IPX001,SOLO,567.20612,0.075562678
IPIXUNA,IPX001,SOLO,575.48682,0.076554514
IPIXUNA,IPX001,SOLO,583.84412,0.077103838
IPIXUNA,IPX001,SOLO,592.33899,0.073792629
IPIXUNA,IPX001,SOLO,601.0144,0.07862974
IPIXUNA,IPX001,SOLO,609.95819,0.080949113
IPIXUNA,IPX001,SOLO,618.71997,0.082444496
IPIXUNA,IPX001,SOLO,627.77844,0.084916458
IPIXUNA,IPX001,SOLO,636.67627,0.087525748
IPIXUNA,IPX001,SOLO,645.96381,0.086747542
IPIXUNA,IPX001,SOLO,655.41876,0.08476387
IPIXUNA,IPX001,SOLO,664.8941,0.086335547
IPIXUNA,IPX001,SOLO,674.46436,0.086213477
IPIXUNA,IPX001,SOLO,684.13727,0.090409704
IPIXUNA,IPX001,SOLO,694.12836,0.104402229
IPIXUNA,IPX001,SOLO,703.737,0.115205616
IPIXUNA,IPX001,SOLO,713.72687,0.134340435
IPIXUNA,IPX001,SOLO,723.87994,0.152040899
IPIXUNA,IPX001,SOLO,733.9552,0.163958192
IPIXUNA,IPX001,SOLO,744.14954,0.19047837
IPIXUNA,IPX001,SOLO,754.4696,0.21469444
IPIXUNA,IPX001,SOLO,764.85645,0.220920116
IPIXUNA,IPX001,SOLO,775.2735,0.238284886
IPIXUNA,IPX001,SOLO,785.65955,0.220859081
IPIXUNA,IPX001,SOLO,796.12701,0.222949564
IPIXUNA,IPX001,SOLO,806.71106,0.237064168
IPIXUNA,IPX001,SOLO,817.31104,0.2170901
IPIXUNA,IPX001,SOLO,827.91949,0.219913021
IPIXUNA,IPX001,SOLO,838.52722000000006,0.220843822
IPIXUNA,IPX001,SOLO,849.20996,0.228625923
IPIXUNA,IPX001,SOLO,859.97314,0.230533302
IPIXUNA,IPX001,SOLO,870.74255,0.23099108
IPIXUNA,IPX001,SOLO,881.45605,0.240863666
IPIXUNA,IPX001,SOLO,892.08093,0.243808657
IPIXUNA,IPX001,SOLO,902.80164,0.222339213
IPIXUNA,IPX001,SOLO,913.44507,0.208117798
IPIXUNA,IPX001,SOLO,923.9502,0.243747622
IPIXUNA,IPX001,SOLO,934.11206,0.262302577
IPIXUNA,IPX001,SOLO,944.62732,0.243762881
IPIXUNA,IPX001,SOLO,956.27148,0.188372627
IPIXUNA,IPX001,SOLO,967.02667,0.171999693
IPIXUNA,IPX001,SOLO,977.36542,0.190402076
IPIXUNA,IPX001,SOLO,943.35791,0.170611128
IPIXUNA,IPX001,SOLO,951.40143,0.177370876
IPIXUNA,IPX001,SOLO,959.974,0.160387576
IPIXUNA,IPX001,SOLO,969.84491,0.181292444
IPIXUNA,IPX001,SOLO,979.224,0.185626
IPIXUNA,IPX001,SOLO,988.91791,0.197283894
IPIXUNA,IPX001,SOLO,998.9082,0.207705811
IPIXUNA,IPX001,SOLO,1008.6443,0.208422974
IPIXUNA,IPX001,SOLO,1018.5357,0.213565275
IPIXUNA,IPX001,SOLO,1029.344,0.220218211
IPIXUNA,IPX001,SOLO,1037.9878,0.225391015
IPIXUNA,IPX001,SOLO,1047.675,0.227939263
IPIXUNA,IPX001,SOLO,1057.5737,0.232791632
IPIXUNA,IPX001,SOLO,1067.7948,0.232547492
IPIXUNA,IPX001,SOLO,1078.2161,0.227237359
IPIXUNA,IPX001,SOLO,1088.761,0.225787744
IPIXUNA,IPX001,SOLO,1099.2776,0.216250852
IPIXUNA,IPX001,SOLO,1109.8894,0.211215377
IPIXUNA,IPX001,SOLO,1120.6759,0.21614404
IPIXUNA,IPX001,SOLO,1131.3048,0.301304638
IPIXUNA,IPX001,SOLO,1142.0703,0.240177006
IPIXUNA,IPX001,SOLO,1152.6501,0.182116419
IPIXUNA,IPX001,SOLO,1163.676,0.180575266
IPIXUNA,IPX001,SOLO,1174.7142,0.181292444
IPIXUNA,IPX001,SOLO,1185.5884,0.190066382
IPIXUNA,IPX001,SOLO,1196.3394,0.198519871
IPIXUNA,IPX001,SOLO,1207.2737,0.196841389
IPIXUNA,IPX001,SOLO,1217.8635,0.198031589
IPIXUNA,IPX001,SOLO,1229.1852,0.205935761
IPIXUNA,IPX001,SOLO,1240.2145,0.211215377
IPIXUNA,IPX001,SOLO,1250.9799,0.220447093
IPIXUNA,IPX001,SOLO,1262.5322,0.233737692
IPIXUNA,IPX001,SOLO,1273.4963,0.235690847
IPIXUNA,IPX001,SOLO,1284.4878,0.217990384
IPIXUNA,IPX001,SOLO,1295.4218,0.200579837
IPIXUNA,IPX001,SOLO,1306.218,0.185717553
IPIXUNA,IPX001,SOLO,1317.2566,0.179385066
IPIXUNA,IPX001,SOLO,1328.2993,0.173479825
IPIXUNA,IPX001,SOLO,1339.1294,0.210421905
IPIXUNA,IPX001,SOLO,1459.3157,0.217456326
IPIXUNA,IPX001,SOLO,1469.9308,0.164843217
IPIXUNA,IPX001,SOLO,1480.8422,0.102555886
IPIXUNA,IPX001,SOLO,1491.4292,0.0805066
IPIXUNA,IPX001,SOLO,1502.0236,0.075989932
IPIXUNA,IPX001,SOLO,1512.6333,0.084367134
IPIXUNA,IPX001,SOLO,1523.2222,0.093934536
IPIXUNA,IPX001,SOLO,1533.7764,0.097123675
IPIXUNA,IPX001,SOLO,1544.2262,0.10168612
IPIXUNA,IPX001,SOLO,1554.8168,0.106095977
IPIXUNA,IPX001,SOLO,1565.3688,0.111604489
IPIXUNA,IPX001,SOLO,1575.6274,0.117158771
IPIXUNA,IPX001,SOLO,1585.8597,0.120241091
IPIXUNA,IPX001,SOLO,1596.2454,0.126253143
IPIXUNA,IPX001,SOLO,1606.4913,0.127580687
IPIXUNA,IPX001,SOLO,1616.8336,0.129076064
IPIXUNA,IPX001,SOLO,1627.021,0.131486997
IPIXUNA,IPX001,SOLO,1637.0919,0.132310972
IPIXUNA,IPX001,SOLO,1647.2316,0.133363858
IPIXUNA,IPX001,SOLO,1656.933,0.134721905
IPIXUNA,IPX001,SOLO,1667.1851,0.136064693
IPIXUNA,IPX001,SOLO,1677.3193,0.13667506
IPIXUNA,IPX001,SOLO,1687.4269,0.134630352
IPIXUNA,IPX001,SOLO,1697.2943,0.132967114
IPIXUNA,IPX001,SOLO,1707.0945,0.131837949
IPIXUNA,IPX001,SOLO,1716.8589,0.135500118
IPIXUNA,IPX001,SOLO,1726.6516,0.130739301
IPIXUNA,IPX001,SOLO,1736.4883,0.128664076
IPIXUNA,IPX001,SOLO,1746.2192,0.121431299
IPIXUNA,IPX001,SOLO,1755.833,0.120027468
IPIXUNA,IPX001,SOLO,1765.5127,0.113939114
IPIXUNA,IPX001,SOLO,1775.1178,0.11493095
IPIXUNA,IPX001,SOLO,1784.7173,0.130327299
IPIXUNA,IPX001,SOLO,1793.9531,0.160418093
IPIXUNA,IPX001,SOLO,1958.6244,0.142870218
IPIXUNA,IPX001,SOLO,1967.3418,0.058579385
IPIXUNA,IPX001,SOLO,1976.0129,0.041947052
IPIXUNA,IPX001,SOLO,1984.853,0.039658196
IPIXUNA,IPX001,SOLO,1993.5482,0.04913405
IPIXUNA,IPX001,SOLO,2002.1106,0.05349813
IPIXUNA,IPX001,SOLO,2010.6614,0.069291219
IPIXUNA,IPX001,SOLO,2019.3214,0.049958039
IPIXUNA,IPX001,SOLO,2027.7267,0.049149308
IPIXUNA,IPX001,SOLO,2036.2607,0.052643627
IPIXUNA,IPX001,SOLO,2044.6809,0.056137942
IPIXUNA,IPX001,SOLO,2053.0078,0.055680171
IPIXUNA,IPX001,SOLO,2061.3787,0.067856871
IPIXUNA,IPX001,SOLO,2069.7957,0.059357595
IPIXUNA,IPX001,SOLO,2077.9915,0.061661709
IPIXUNA,IPX001,SOLO,2086.3823,0.064148925
IPIXUNA,IPX001,SOLO,2094.6252,0.061936371
IPIXUNA,IPX001,SOLO,2102.8213,0.062211033
IPIXUNA,IPX001,SOLO,2111.0391,0.064972915
IPIXUNA,IPX001,SOLO,2119.2314,0.064606696
IPIXUNA,IPX001,SOLO,2127.3372,0.067460135
IPIXUNA,IPX001,SOLO,2135.5103,0.071732663
IPIXUNA,IPX001,SOLO,2143.4656,0.074967578000000007
IPIXUNA,IPX001,SOLO,2151.3862,0.072999164
IPIXUNA,IPX001,SOLO,2159.564,0.073487453
IPIXUNA,IPX001,SOLO,2167.4849,0.077363238
IPIXUNA,IPX001,SOLO,2175.3442,0.079362176
IPIXUNA,IPX001,SOLO,2183.4202,0.075181201
IPIXUNA,IPX001,SOLO,2191.1003,0.07943847
IPIXUNA,IPX001,SOLO,2199.1353,0.077943087
IPIXUNA,IPX001,SOLO,2206.843,0.081635766
IPIXUNA,IPX001,SOLO,2214.625,0.083482109
IPIXUNA,IPX001,SOLO,2222.4263,0.081254289
IPIXUNA,IPX001,SOLO,2230.0076,0.080933854
IPIXUNA,IPX001,SOLO,2237.9041,0.082475014
IPIXUNA,IPX001,SOLO,2245.4485,0.080094606
IPIXUNA,IPX001,SOLO,2253.1104,0.079682611
IPIXUNA,IPX001,SOLO,2260.8665,0.079591058
IPIXUNA,IPX001,SOLO,2268.2883,0.078858629
IPIXUNA,IPX001,SOLO,2276.0537,0.074143589
IPIXUNA,IPX001,SOLO,2283.4934,0.073365375
IPIXUNA,IPX001,SOLO,2290.8267,0.073411152
IPIXUNA,IPX001,SOLO,2298.6094,0.07000839
IPIXUNA,IPX001,SOLO,2305.7227,0.069764249
IPIXUNA,IPX001,SOLO,2313.2007,0.062699318
IPIXUNA,IPX001,SOLO,2320.8955,0.052979324
IPIXUNA,IPX001,SOLO,2327.8242,0.060868237
IPIXUNA,IPX001,SOLO,2335.5264,0.06112764
IPIXUNA,IPX001,SOLO,2342.8228,0.058899824
IPIXUNA,IPX001,SOLO,2349.7915,0.052536812
IPIXUNA,IPX001,SOLO,2357.2937,0.039627679
