PONTO,site,TIPO,R450,wl450,R550,wl550,R650,wl650,R850,wl850,R1650,wl1650,R2200,wl2200
BA001,BOCA_DO_ACRE,SOLO,0.082215607,453.38947,0.1314869970083236,550.91461,0.1620355546474456,645.96381,0.3361409902572632,849.20996,0.3872434496879577,1647.2316,0.2945296466350555,2199.1353
BA002,BOCA_DO_ACRE,SOLO,0.0679942,453.38947,0.1324483156204223,550.91461,0.2063019722700119,645.96381,0.3819180727005005,849.20996,0.4547646343708038,1647.2316,0.312870979,2199.1353
BA003,BOCA_DO_ACRE,SOLO,0.072281986,453.38947,0.1413443237543106,550.91461,0.2128938734531402,645.96381,0.3822537660598755,849.20996,0.4476844370365143,1647.2316,0.3094224333763122,2199.1353
BA004,BOCA_DO_ACRE,SOLO,0.021301595,453.38947,0.050110627,550.91461,0.027649349,645.96381,0.4170901179313659,849.20996,0.2150759100914001,1647.2316,0.082963303,2199.1353
BA005,BOCA_DO_ACRE,SOLO,0.090745404,453.38947,0.1580529510974884,550.91461,0.2110933065414428,645.96381,0.3306019604206085,849.20996,0.3802548348903656,1647.2316,0.3023880422115326,2199.1353
BA007,BOCA_DO_ACRE,SOLO,0.059174486,453.38947,0.1192492544651031,550.91461,0.1374685317277908,645.96381,0.4027161002159118,849.20996,0.3449759781360626,1647.2316,0.2195925861597061,2199.1353
IPX001,IPIXUNA,SOLO,0.027298391,453.38947,0.073884182,550.91461,0.086747542,645.96381,0.2286259233951568,849.20996,0.1333638578653335,1647.2316,0.077943087,2199.1353
IPX002,IPIXUNA,SOLO,0.025909819,453.38947,0.067307547,550.91461,0.066071562,645.96381,0.3715876936912536,849.20996,0.1783016771078109,1647.2316,0.088059813,2199.1353
IPX003,IPIXUNA,SOLO,0.014190891,453.38947,0.039215688,550.91461,0.025619898,645.96381,0.3971465528011322,849.20996,0.1707484573125839,1647.2316,0.079194322,2199.1353
IPX004,IPIXUNA,SOLO,0.1048905178904533,453.38947,0.1361715048551559,550.91461,0.1217212155461311,645.96381,0.4560158550739288,849.20996,0.2373693436384201,1647.2316,0.1357442587614059,2199.1353
IPX005,IPIXUNA,SOLO,0.1369649767875671,453.38947,0.1852750480175018,550.91461,0.2059510201215744,645.96381,0.3419394195079803,849.20996,0.2137178629636764,1647.2316,0.1561760902404785,2199.1353
IPX006,IPIXUNA,SOLO,0.04771496,453.38947,0.085999846,550.91461,0.091645688,645.96381,0.2798809707164764,849.20996,0.1500114500522613,1647.2316,0.089188986,2199.1353
ITA001,ITAMARATI,SOLO,0.13395895063877106,453.38947,0.17749294638633728,550.91461,0.19514763355255127,645.96381,0.28757152,849.20996,0.40158694982528687,1647.2316,0.34456396102905273,2199.1353
