PONTO,site,TIPO,R450,wl450,R550,wl550,R650,wl650,R850,wl850,R1650,wl1650,R2200,wl2200
BOA001,BOCA_DO_ACRE,AGUA,0.027588312,453.38947,0.056122683,550.91461,0.049515527,645.96381,0.034653239,849.20996,0.005600061,1647.2316,0.002121004,2199.1353
BOA002,BOCA_DO_ACRE,AGUA,0.026215,453.38947,0.052399483,550.91461,0.046753645,645.96381,0.031631954,849.20996,0.001358053,1647.2316,0.001983673,2199.1353
BOA003,BOCA_DO_ACRE,AGUA,0.025619898,453.38947,0.055313956,550.91461,0.053513389,645.96381,0.04008545,849.20996,0.009781033,1647.2316,0.005752651,2199.1353
BOA004,BOCA_DO_ACRE,AGUA,0.025619898,453.38947,0.055725947,550.91461,0.05427634,645.96381,0.041840237,849.20996,0.014953841,1647.2316,0.011459526,2199.1353
BOA005,BOCA_DO_ACRE,AGUA,0.026276035,453.38947,0.048462655,550.91461,0.042496376,645.96381,0.030197604,849.20996,0.002838178,1647.2316,0.001052873,2199.1353
BOA006,BOCA_DO_ACRE,AGUA,NA,453.38947,NA,550.91461,NA,645.96381,NA,849.20996,NA,1647.2316,NA,2199.1353
BOA007,BOCA_DO_ACRE,AGUA,NA,453.38947,NA,550.91461,NA,645.96381,NA,849.20996,NA,1647.2316,NA,2199.1353
BOA008,BOCA_DO_ACRE,AGUA,0.027298391,453.38947,0.061142899,550.91461,0.047531854,645.96381,0.2016327083110809,849.20996,0.082154572,1647.2316,0.035843443,2199.1353
BOA009,BOCA_DO_ACRE,AGUA,0.026810102,453.38947,0.05603113,550.91461,0.050736248,645.96381,0.04321355,849.20996,0.006820783,1647.2316,0.002883955,2199.1353
BOA010,BOCA_DO_ACRE,AGUA,0.020233463,453.38947,0.048218511,550.91461,0.034027617,645.96381,0.3149156868457794,849.20996,0.1729457527399063,1647.2316,0.071457997,2199.1353
BOA011,BOCA_DO_ACRE,AGUA,0.026199741,453.38947,0.067917906,550.91461,0.070374608,645.96381,0.1092393398284912,849.20996,0.060776684,1647.2316,0.030685892,2199.1353
BA001,BOCA_DO_ACRE,SOLO,0.082215607,453.38947,0.1314869970083236,550.91461,0.1620355546474456,645.96381,0.3361409902572632,849.20996,0.3872434496879577,1647.2316,0.2945296466350555,2199.1353
BA002,BOCA_DO_ACRE,SOLO,0.0679942,453.38947,0.1324483156204223,550.91461,0.2063019722700119,645.96381,0.3819180727005005,849.20996,0.4547646343708038,1647.2316,0.312870979,2199.1353
BA003,BOCA_DO_ACRE,SOLO,0.072281986,453.38947,0.1413443237543106,550.91461,0.2128938734531402,645.96381,0.3822537660598755,849.20996,0.4476844370365143,1647.2316,0.3094224333763122,2199.1353
BA004,BOCA_DO_ACRE,SOLO,0.021301595,453.38947,0.050110627,550.91461,0.027649349,645.96381,0.4170901179313659,849.20996,0.2150759100914001,1647.2316,0.082963303,2199.1353
BA005,BOCA_DO_ACRE,SOLO,0.090745404,453.38947,0.1580529510974884,550.91461,0.2110933065414428,645.96381,0.3306019604206085,849.20996,0.3802548348903656,1647.2316,0.3023880422115326,2199.1353
BA007,BOCA_DO_ACRE,SOLO,0.059174486,453.38947,0.1192492544651031,550.91461,0.1374685317277908,645.96381,0.4027161002159118,849.20996,0.3449759781360626,1647.2316,0.2195925861597061,2199.1353
IPA001,IPIXUNA,AGUA,0.036545359,453.38947,0.07330434,550.91461,0.073456928,645.96381,0.293965071,849.20996,0.1931639611721038,1647.2316,0.1194171085953712,2199.1353
IPA002,IPIXUNA,AGUA,0.025024796,453.38947,0.0742504,550.91461,0.1046463698148727,645.96381,0.1396353095769882,849.20996,0.068314642,1647.2316,0.044693675,2199.1353
IPA003,IPIXUNA,AGUA,0.059098192,453.38947,0.1169909238815307,550.91461,0.1372549086809158,645.96381,0.4148164987564087,849.20996,0.2951094806194305,1647.2316,0.1834287047386169,2199.1353
IPA004,IPIXUNA,AGUA,0.054856185,453.38947,0.082780197,550.91461,0.065278098,645.96381,0.4365301132202148,849.20996,0.2005188018083572,1647.2316,0.099977113,2199.1353
IPA005,IPIXUNA,AGUA,0.095948733,453.38947,0.1433432549238205,550.91461,0.16423285,645.96381,0.2484931647777557,849.20996,0.1190508902072906,1647.2316,0.077378497,2199.1353
IPA006,IPIXUNA,AGUA,0.018051423,453.38947,0.055436026,550.91461,0.041260395,645.96381,0.4495765566825866,849.20996,0.1956816911697387,1647.2316,0.091432057,2199.1353
IPA007,IPIXUNA,AGUA,0.064499885,453.38947,0.1222705394029617,550.91461,0.1550164073705673,645.96381,0.3004806637763977,849.20996,0.2210116684436798,1647.2316,0.1548638194799423,2199.1353
IPA008,IPIXUNA,AGUA,0.001571679,453.38947,0.044693675,550.91461,0.029510949,645.96381,0.4096131920814514,849.20996,0.1744716614484787,1647.2316,0.081391625,2199.1353
IPA009,IPIXUNA,AGUA,0.03996338,453.38947,0.09576562,550.91461,0.1266041100025177,645.96381,0.1767452508211136,849.20996,0.078614481,1647.2316,0.051346608,2199.1353
IPA010,IPIXUNA,AGUA,0.031738766,453.38947,0.068558782,550.91461,0.047867551,645.96381,0.5117570757865906,849.20996,0.2243991792201995,1647.2316,0.1081406846642494,2199.1353
IPA011,IPIXUNA,AGUA,0.1111162006855011,453.38947,0.1536583453416824,550.91461,0.1405050754547119,645.96381,0.4486915469169616,849.20996,0.251102477,1647.2316,0.1476768106222152,2199.1353
IPX001,IPIXUNA,SOLO,0.027298391,453.38947,0.073884182,550.91461,0.086747542,645.96381,0.2286259233951568,849.20996,0.1333638578653335,1647.2316,0.077943087,2199.1353
IPX002,IPIXUNA,SOLO,0.025909819,453.38947,0.067307547,550.91461,0.066071562,645.96381,0.3715876936912536,849.20996,0.1783016771078109,1647.2316,0.088059813,2199.1353
IPX003,IPIXUNA,SOLO,0.014190891,453.38947,0.039215688,550.91461,0.025619898,645.96381,0.3971465528011322,849.20996,0.1707484573125839,1647.2316,0.079194322,2199.1353
IPX004,IPIXUNA,SOLO,0.1048905178904533,453.38947,0.1361715048551559,550.91461,0.1217212155461311,645.96381,0.4560158550739288,849.20996,0.2373693436384201,1647.2316,0.1357442587614059,2199.1353
IPX005,IPIXUNA,SOLO,0.1369649767875671,453.38947,0.1852750480175018,550.91461,0.2059510201215744,645.96381,0.3419394195079803,849.20996,0.2137178629636764,1647.2316,0.1561760902404785,2199.1353
IPX006,IPIXUNA,SOLO,0.04771496,453.38947,0.085999846,550.91461,0.091645688,645.96381,0.2798809707164764,849.20996,0.1500114500522613,1647.2316,0.089188986,2199.1353
BOA007,BOCA_DO_ACRE,AGUA,0.03280689567327499,453.38947,0.077744715,550.91461,0.050598916,645.96381,0.4560158550739288,849.20996,0.24924086034297943,1647.2316,0.11406119167804718,2199.1353
ITAA001,ITAMARATI,AGUA,0.040985733,453.38947,0.092545971,550.91461,0.095597774,645.96381,0.02784771472215652,849.20996,0.005706874,1647.2316,0.001861601,2199.1353
ITA001,ITAMARATI,SOLO,0.13395895063877106,453.38947,0.17749294638633728,550.91461,0.19514763355255127,645.96381,0.28757152,849.20996,0.40158694982528687,1647.2316,0.34456396102905273,2199.1353
