SITE,PONTO,sample_key,n_wl,SAM_deg,RMSE,CORR,has_FieldSpec
BOCA_DO_ACRE,BA002,BA002,207,18.274807859108986,0.13367790251164785,0.6854442560012773,TRUE
BOCA_DO_ACRE,BA001,BA001,207,18.87983245480271,0.2280110529249255,0.6350250909385531,TRUE
BOCA_DO_ACRE,BA005,BA005,207,18.943770879130568,0.15431918380174117,0.5467690723251052,TRUE
BOCA_DO_ACRE,BA003,BA003,207,20.94173996360963,0.17740609943433255,0.53551940864312,TRUE
BOCA_DO_ACRE,BA007,BA007,207,24.432148851338518,0.12937291536089315,0.5019885981050917,TRUE
BOCA_DO_ACRE,BA004,BA004,207,40.16241138218015,0.26326530114437574,0.3302487067388698,TRUE
IPIXUNA,IPX001,IPX001,207,17.232153425025096,0.07826662560949693,0.8556540038731386,TRUE
IPIXUNA,IPX006,IPX006,207,30.66176490254632,0.17462239239446026,0.3253352272383196,TRUE
IPIXUNA,IPX004,IPX004,207,31.219263647525704,0.20217379442517033,0.31687754056945666,TRUE
IPIXUNA,IPX003,IPX003,207,36.58135188683153,0.15797112224243157,0.5285163693354826,TRUE
IPIXUNA,IPX002,IPX002,207,37.832905848933436,0.33570288129242126,0.21451741606110955,TRUE
IPIXUNA,IPX005,IPX005,0,NA,NA,NA,FALSE
ITAMARATI,ITA001,ITA001,207,14.963456358209525,0.15504774835894522,0.7494761844766307,TRUE
